stock_name,% of Shares Held by All Insider,% of Shares Held by Institutions,% of Float Held by Institutions,Number of Institutions Holding Shares,Vanguard Group Inc,Blackrock Inc.,State Street Corporation,"Geode Capital Management, LLC",Capital World Investors,Morgan Stanley,Norges Bank Investment Management,"FMR, LLC",JP Morgan Chase & Company,Price (T.Rowe) Associates Inc,Vanguard Total Stock Market Index Fund,Vanguard 500 Index Fund,Fidelity 500 Index Fund,SPDR S&P 500 ETF Trust,iShares Core S&P 500 ETF,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",Vanguard Growth Index Fund,Growth Fund Of America Inc,Vanguard Institutional Index Fund-Institutional Index Fund,Select Sector SPDR Fund-Consumer Discretionary
"Tesla, Inc. (TSLA)",13.00%,45.73%,52.56%,"3,858","{'Shares': '229,806,241', 'Date Reported': 'Dec 30, 2023', '% Out': '7.22%', 'Value': '44,307,401,384'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
"Amazon.com, Inc. (AMZN)",9.32%,62.79%,69.24%,"5,941","{'Shares': '771,052,550', 'Date Reported': 'Dec 30, 2023', '% Out': '7.42%', 'Value': '129,313,228,337'}",{},{},{},,{},{},{},{},{},{},{},{},{},{},{},{},{},{},
Apple Inc. (AAPL),5.94%,56.65%,60.22%,"6,144","{'Shares': '1,317,966,471', 'Date Reported': 'Dec 30, 2023', '% Out': '8.54%', 'Value': '238,579,080,523'}",{},{},{},,{},{},{},,{},{},{},{},{},{},{},{},,{},
"Meta Platforms, Inc. (META)",0.17%,79.58%,79.71%,"4,661","{'Shares': '186,349,345', 'Date Reported': 'Dec 30, 2023', '% Out': '8.47%', 'Value': '86,535,044,427'}",{},{},{},{},{},,{},{},{},{},{},{},{},{},{},{},{},{},
"Netflix, Inc. (NFLX)",1.38%,84.72%,85.90%,"2,940","{'Shares': '36,438,570', 'Date Reported': 'Dec 30, 2023', '% Out': '8.42%', 'Value': '20,762,149,628'}",{},{},{},{},,,{},{},{},{},{},{},{},{},{},{},{},,
Alphabet Inc. (GOOG),0.02%,62.08%,62.09%,"4,746","{'Shares': '410,988,828', 'Date Reported': 'Dec 30, 2023', '% Out': '7.18%', 'Value': '58,775,510,034'}",{},{},{},,{},,{},{},{},{},{},{},{},{},{},{},{},{},
Microsoft Corporation (MSFT),0.06%,73.81%,73.85%,"6,698","{'Shares': '664,908,908', 'Date Reported': 'Dec 30, 2023', '% Out': '8.95%', 'Value': '265,041,278,053'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},
Starbucks Corporation (SBUX),2.03%,75.89%,77.46%,"3,018","{'Shares': '107,933,208', 'Date Reported': 'Dec 30, 2023', '% Out': '9.53%', 'Value': '10,184,038,203'}",{},{},{},,{},{},,{},,{},{},{},{},{},{},{},,{},{}
"NIKE, Inc. (NKE)",1.41%,83.06%,84.24%,"3,224","{'Shares': '109,543,029', 'Date Reported': 'Dec 30, 2023', '% Out': '8.95%', 'Value': '11,454,914,509'}",{},{},{},,{},,{},,,{},{},{},{},{},,{},,{},
GameStop Corp. (GME),12.83%,29.68%,34.04%,344,"{'Shares': '25,450,256', 'Date Reported': 'Dec 30, 2023', '% Out': '8.33%', 'Value': '336,834,129'}",{},{},{},,,,,,,{},,,,,,,,,
